GEOID,county_name,percent_broadband,percent_occupied,pct_poverty,pct_labor_force_16up,pct_labor_force_20_64,pct_unemployment,pct_high_school,pct_bachelors,pct_insurance
19147,Palo Alto,83.5,80.6,10.7,66.2,84.2,3.6,93,20.2,95.8
19149,Plymouth,88.3,94.4,5.7,69.5,87.5,2.1,94.3,24.1,94.6
19151,Pocahontas,83.7,84.2,9.1,62.6,83.3,6.3,91.5,17.1,94
19153,Polk,89.5,94.1,10.3,71.1,84.4,4.5,92.7,38.9,95.2
19155,Pottawattamie,83.7,93.1,11.3,63.8,79.4,3.6,90.6,23.4,94.8
19157,Poweshiek,82.2,86.8,10.8,62.5,82.5,4.6,94.9,28.9,96.5
19159,Ringgold,83.5,69,8.2,62.9,82.5,1.7,94,22.6,93
19161,Sac,83.5,81.9,8.7,65.3,86,3.2,93.7,21.6,94.8
19163,Scott,87.9,92,11.9,65.9,82,4,94,34.9,94.4
19165,Shelby,82.4,91,8.8,64.4,82.2,2.5,94.2,22.8,95.6
19167,Sioux,90.7,95.5,6.1,71.9,87,2.3,91.6,31.3,95
19169,Story,77.5,92.9,19.6,66.7,80,5.6,97.1,52.5,94.9
19171,Tama,83.3,88.3,15.2,63.8,82.4,4.5,91,18.3,92.7
19173,Taylor,82.1,84,8.5,64.5,83.1,3.2,91,15.5,93.3
19175,Union,83.9,86,11.9,60.9,79.1,5.7,92.8,24.1,93.4
19177,Van Buren,72,81,11.1,55.9,73.7,4.9,88.4,18.5,85.6
19179,Wapello,80.2,90.1,17.4,61.6,76.5,4.4,87.9,18.5,93.2
19181,Warren,89.3,94.4,6.2,69,86.3,3.2,96.5,32.2,97.6
19183,Washington,86.3,92.9,7.5,67.8,84.7,2.6,92.3,24.4,93.3
19185,Wayne,76.2,83.5,13.3,58.2,76.2,1.6,89.4,15,88.6
19187,Webster,82.2,91.8,12.2,60.5,76.1,3.2,91.8,20.7,93.9
19189,Winnebago,85.6,88.6,7.8,64.6,83.8,2.5,94.5,25.9,96.6
19191,Winneshiek,84.8,91.7,8.9,66.3,85.5,2.1,95.2,30.5,97.5
19193,Woodbury,84.1,94,13.5,68.2,82.4,4.5,87.6,24,93.5
19195,Worth,83.9,91.5,7.4,68.7,87,3.3,94.3,19.5,94.1
19197,Wright,79.5,85.5,14.3,59.3,78.9,2.2,92.7,21,95.5
